iter	Passed	Remaining
0	0	33
1	0	29
2	0	29
3	1	26
4	1	26
5	1	27
6	2	36
7	2	34
8	3	32
9	3	31
10	3	30
11	4	29
12	4	29
13	4	29
14	4	28
15	5	27
16	5	27
17	5	26
18	6	26
19	6	25
20	6	25
21	7	25
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	16
41	11	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	16	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	17	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
