iter	Passed	Remaining
0	59	59850
1	60	30146
2	60	20254
3	61	15320
4	62	12338
5	62	10340
6	62	8909
7	63	7852
8	63	7006
9	63	6330
10	64	5782
11	64	5326
12	64	4933
13	65	4599
14	65	4308
15	66	4060
16	66	3843
17	66	3653
18	67	3479
19	67	3321
20	68	3179
21	68	3050
22	68	2927
23	69	2814
24	69	2710
25	69	2615
26	70	2527
27	70	2445
28	70	2368
29	71	2297
30	71	2230
31	71	2168
32	72	2110
33	72	2055
34	72	2002
35	72	1952
36	73	1905
37	73	1860
38	73	1817
39	74	1777
40	74	1739
41	74	1702
42	74	1667
43	75	1634
44	75	1602
45	75	1571
46	76	1542
47	76	1513
48	76	1486
49	77	1469
50	77	1448
51	78	1424
52	78	1402
53	78	1380
54	79	1360
55	79	1339
56	79	1319
57	80	1299
58	80	1281
59	80	1263
60	80	1245
61	81	1229
62	81	1212
63	81	1197
64	82	1181
65	82	1166
66	82	1152
67	83	1138
68	83	1124
69	83	1111
70	83	1098
71	84	1085
72	84	1073
73	84	1061
74	85	1049
75	85	1037
76	85	1026
77	85	1015
78	86	1004
79	86	993
80	86	983
81	86	973
82	87	961
83	87	951
84	87	942
85	87	933
86	88	924
87	88	915
88	88	906
89	88	898
90	89	890
91	89	883
92	89	875
93	90	868
94	90	860
95	90	853
96	90	847
97	91	840
98	91	832
99	91	826
100	92	819
101	92	812
102	92	806
103	93	801
104	93	796
105	93	790
106	94	784
107	94	779
108	94	773
109	94	767
110	95	762
111	95	756
112	95	750
113	95	745
114	96	740
115	96	734
116	96	728
117	96	723
118	97	718
119	97	713
120	97	709
121	97	703
122	98	699
123	98	694
124	98	690
125	98	685
126	99	681
127	99	676
128	99	672
129	99	668
130	100	664
131	100	660
132	100	656
133	100	652
134	101	648
135	101	644
136	101	641
137	102	638
138	102	634
139	102	630
140	102	627
141	103	622
142	103	619
143	103	616
144	103	612
145	104	609
146	104	606
147	104	602
148	104	599
149	105	596
150	105	593
151	105	590
152	106	586
153	106	583
154	106	580
155	106	577
156	107	574
157	107	572
158	107	569
159	107	566
160	108	563
161	108	560
162	108	557
163	108	555
164	109	552
165	109	550
166	109	547
167	110	544
168	110	542
169	110	539
170	110	537
171	111	534
172	111	532
173	111	530
174	112	528
175	112	525
176	112	523
177	112	521
178	113	518
179	113	516
180	113	514
181	113	511
182	114	509
183	114	507
184	114	505
185	114	502
186	115	500
187	115	498
188	115	496
189	115	494
190	116	492
191	116	490
192	118	497
193	119	495
194	119	493
195	119	491
196	120	489
197	120	487
198	120	485
199	121	484
200	121	482
201	121	480
202	121	478
203	122	476
204	122	475
205	122	473
206	123	471
207	123	469
208	123	468
209	124	466
210	124	465
211	124	464
212	125	462
213	125	460
214	125	458
215	125	457
216	126	455
217	126	453
218	126	452
219	127	450
220	127	448
221	127	447
222	127	445
223	128	444
224	128	442
225	128	440
226	129	439
227	129	437
228	129	436
229	129	434
230	130	433
231	130	431
232	130	430
233	131	428
234	131	427
235	131	425
236	131	424
237	132	422
238	132	421
239	132	419
240	132	418
241	133	417
242	133	415
243	133	414
244	133	412
245	134	411
246	134	410
